Conexiones activas de Internet (servidores w/o)
Proto  Recib Enviad Dirección local         Dirección remota       Estado      
tcp        0      0 192.168.0.150:49848     179.6.255.29:https      TIME_WAIT  
tcp        0      0 192.168.0.150:44139     179.6.255.25:http       ESTABLECIDO
tcp        1      0 localhost:34902         localhost:ipp           CLOSE_WAIT 
tcp        0      0 192.168.0.150:58208     179.6.255.40:https      ESTABLECIDO
tcp        0      0 192.168.0.150:49457     104.25.169.18:http      ESTABLECIDO
tcp        0      0 192.168.0.150:53455     bn.com.pe:http          ESTABLECIDO
tcp        0      0 192.168.0.150:42409     ec2-54-235-187-23:https ESTABLECIDO
tcp        0      0 localhost:mysql         localhost:50010         ESTABLECIDO
tcp        0      0 192.168.0.150:49460     104.25.169.18:http      ESTABLECIDO
tcp        0      0 192.168.0.150:49452     104.25.169.18:http      ESTABLECIDO
tcp        0      0 192.168.0.150:39748     104.28.30.143:http      TIME_WAIT  
tcp        0      0 192.168.0.150:39511     87-98-249-231.ovh.:http ESTABLECIDO
tcp        0      0 192.168.0.150:58976     xx-fbcdn-shv-01-a:https ESTABLECIDO
tcp        0      0 192.168.0.150:53437     bn.com.pe:http          ESTABLECIDO
tcp        0      0 192.168.0.150:44221     179.6.255.25:http       TIME_WAIT  
tcp        0      0 192.168.0.150:44220     179.6.255.25:http       TIME_WAIT  
tcp        0      0 localhost:mysql         localhost:50009         ESTABLECIDO
tcp        0      0 192.168.0.150:39753     104.28.30.143:http      ESTABLECIDO
tcp        0      0 192.168.0.150:53436     bn.com.pe:http          ESTABLECIDO
tcp        0      0 192.168.0.150:37274     yk-in-f95.1e100.ne:http ESTABLECIDO
tcp        0      0 192.168.0.150:53320     ec2-54-232-183-68:https ESTABLECIDO
tcp        0      0 192.168.0.150:45158     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:51104     a23-4-43-27.deploy:http TIME_WAIT  
tcp        0      0 192.168.0.150:45162     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:54904     mia07s35-in-f10.1e:http ESTABLECIDO
tcp        0      0 localhost:50009         localhost:mysql         ESTABLECIDO
tcp        0      0 192.168.0.150:54148     scotty1.guildzilla:http ESTABLECIDO
tcp        0      0 192.168.0.150:35317     179.6.255.20:http       ESTABLECIDO
tcp        0      0 192.168.0.150:45164     a23-32-214-252.de:https ESTABLECIDO
tcp        0      0 192.168.0.150:41462     179.6.254.162:https     ESTABLECIDO
